UUID,a1,a2,a3,a4,a5,a6,pub_type,name
7D697CCA,Brooks,Miljan,,,,,2,%20Public%20Policy%20in%20Canada.%204th%20ed.
5.84E+70,Dubois,Saunders,,,,,1,Just%20Do%20It!%20:%20Carving%20Out%20a%20Space%20for%20the%20Métis%20in%20Canadian%20Federalism
E2526E09,Dubois,Saunders,,,,,1,Just%20Do%20It!%20:%20Carving%20Out%20a%20Space%20for%20the%20Métis%20in%20Canadian%20Federalism
9E9B75EB,Nevitte,Kanji,,,,,2,New%20Cleavages%2C%20Value%20Diversity%2C%20and%20Democratic%20Governance
56FD0095,White,,,,,,1,"Not%20the%20Almighty:%20Evaluating%20Aboriginal%20Influence%20in%20Northern%20Claims%20Boards,"
EAA961EB,Henderson,,,,,,1,Small%20Worlds%20as%20Predictors%20of%20General%20Political%20Attitudes
B8F7912F,Whitaker,,,,,,1,Confused%20Alarms%20of%20Struggle%20and%20Flight:%20English-Canadian%20Political%20Science%20in%20the%201970s
A2B729CB,Mancke,,,,,,1,Early%20Modern%20Imperial%20Governance%20and%20the%20Origins%20of%20Canadian%20Political%20Culture
E10FC76B,Careless,,,,,,1,Limited%20Identities%20in%20Canada
5974AF88,Careless,,,,,,1,Limited%20Identities%20in%20Canada
B283EDAA,Abu-Laban,,,,,,1,Regionalism%2C%20Migration%2C%20and%20Fortress%20(North)%20America.%20
D7CFB8E1,Malloy,,,,,,1,A%20Genealogy%20of%20Rational%20Choice:%20Rationalism%2C%20Elitism%2C%20and%20Democracy”
0910A136,White,,,,,,1,Governance%20in%20Nunavut:%20Capacity%20vs%20Culture?
DA81AEEF,Pammett,Le%20Duc,,,,,1,Sovereignty%2C%20Leadership%20and%20Voting%20in%20the%20Quebec%20Referendums
752D40A0,Lindquist,White,,,,,1,Streams%2C%20Springs%20and%20Stones:%20Ontario%20Public%20Service%20Reform%20in%20the%201980s%20and%201990s
540CD189,Charbonneau,,,,,,3,%20Comprendre%20le%20nouveau%20nationalisme%20canadien%20:%20le%20Canada%20comme%20idéal%20moral%20politique
6D3E7498,Belanger,Nadeau,,,,,3,%20Lélecteur%20québécois%20et%20les%20partis
CB93FC8D,Joanis,,,,,,3,%20Les%20politiques%20publiques%20à%20lère%20du%20%20fédéralisme%20flexible%20
2DD35712,Bilodeau,Turgeon,Kadakoc,,,,1,%20Small%20Worlds%20of%20Diversity:%20Views%20Toward%20Immigration%20and%20Racial%20Minorities%20in%20Canadian%20Provinces
F0CD34B4,Papillon,,,,,,3,%20Vers%20un%20fédéralisme%20postcolonial?%20La%20difficile%20redéfinition%20des%20rapports%20entre%20lÉtat%20canadien%20et%20les%20peuples%20autochtones
0A5E9130,Lecours,,,,,,1,Lapproche%20néo-institutionnaliste%20en%20science%20politique:%20unité%20ou%20diversité?
B013F747,Borrows,,,,,,2,(Ab)Originalism%20and%20Canadas%20Constitution
8385F6A7,Loewen,Bastien,,,,,1,(In)Significant%20Elections?%20Federal%20By-elections%20in%20Canada%2C%201963-2008
C8BB96BB,Vipond,,,,,,1,1787%20and%201867:%20The%20Federal%20Principle%20and%20Canadian%20Confederation%20Reconsidered
D7FFEF27,Moore,,,,,,2,1867:%20How%20the%20Fathers%20Made%20a%20Deal
59A19539,Moore,,,,,,2,1867:%20How%20the%20Fathers%20Made%20a%20Deal
FA8FD9E8,Angus,,,,,,2,A%20Border%20Within%2C%20National%20Identity%2C%20Cultural%20Plurality%20and%20Wilderness
988B341E,Dufour,,,,,,2,A%20Canadian%20Challenge:%20Le%20défi%20Québécois
3B233291,Dufour,,,,,,2,A%20Canadian%20Challenge:%20Le%20défi%20Québécois
BAE41C54,Elkins,Simeon,,,,,1,A%20Cause%20in%20Search%20of%20Its%20Effect%2C%20or%20What%20Does%20Political%20Culture%20Explain
32AC9E47,Elkins,Simeon,,,,,1,A%20Cause%20in%20Search%20of%20Its%20Effect%2C%20or%20What%20Does%20Political%20Culture%20Explain
76AF94A5,Elkins,Simeon,,,,,1,A%20Cause%20in%20Search%20of%20Its%20Effect%2C%20or%20What%20Does%20Political%20Culture%20Explain?
B6A7AD30,Lucas,,,,,,1,A%20Century%20of%20Political%20Science%20in%20Canada
4A25146D,Lucas,,,,,,1,A%20Century%20of%20Political%20Science%20in%20Canada
4CF7934E,Dacks,,,,,,2,A%20Choice%20of%20Futures:%20Politics%20in%20the%20Canadian%20North
7DEEF540,Smith,,,,,,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life
35E91536,Smith,,,,,,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life
F9E226E1,Smith,,,,,,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life
A8367CD3,Smith,,,,,,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life
0CD437A1,Smith,,,,,,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life
4E1F7DAD,Smith,,,,,,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life
3B593235,Brock,,,,,,3,A%20Comprehensive%20Canadian%20Approach%20to%20the%20Third%20Sector:%20Creative%20Tensions%20and%20Unexpected%20Outcomes
03D257F9,Albo,Jenson,,,,,3,A%20Contested%20Concept:%20The%20Relative%20Autonmy%20of%20the%20State
926C9289,Albo,Jenson,,,,,3,A%20Contested%20Concept:%20The%20Relative%20Autonmy%20of%20the%20State
E3439A28,Cairns,Black,,,,,1,A%20Different%20Perspective%20on%20Canadian%20Federalism
8A488E7E,Cairns,Black,,,,,1,A%20Different%20Perspective%20on%20Canadian%20Federalism
B50818F0,General/Classics,,,,,,3,A%20Framework%20for%20Feminist%20Political%20Science
C6DC5CB2,Elections%20Canada,,,,,,4,A%20History%20of%20the%20Vote%20in%20Canada
787A0CBE,Esselment%20Lennox,,,,,,1,A%20Little%20Help%20from%20My%20Friends:%20The%20Partisan%20Factor%20and%20Intergovernmental%20Negotiations%20in%20Canada
C565E70A,Esselment%20Lennox,,,,,,1,A%20Little%20Help%20from%20My%20Friends:%20The%20Partisan%20Factor%20and%20Intergovernmental%20Negotiations%20in%20Canada
819AE679,Milloy,,,,,,2,A%20National%20Crime
E13C2573,Loewen,Koop,Settle,Fowoler,,,1,A%20Natural%20Experiment%20in%20Proposal%20Power%20and%20Electoral%20Success
70B4251F,Carty,Cross,Young,,,,3,A%20New%20Canadian%20Party%20System
D61E66E1,Carty,Cross,Young,,,,3,A%20New%20Canadian%20Party%20System
669121A7,Carty,Cross,Young,,,,3,A%20New%20Canadian%20Party%20System
42790DE6,Wiseman,,,,,,1,A%20Note%20on%20Hartz-Horowitz%20at%20Twenty:%20the%20Case%20of%20French%20Canada%20
656A572C,Wiseman,,,,,,1,A%20Note%20on%20Hartz-Horowitz%20at%20Twenty:%20the%20Case%20of%20French%20Canada%20
44085C05,Montpetit,,,,,,1,A%20Policy%20Network%20Explanation%20of%20Biotechnology%20Differences%20Between%20the%20United%20States%20and%20Canada
4FC0942D,Magnusson,Shaw,,,,,3,A%20Political%20Space:%20Reading%20the%20Global%20through%20Clayoquot%20Sound%20
55B3E592,Clarke,Kornberg,Wearing,,,,2,A%20Polity%20on%20the%20Edge:%20Canada%20and%20the%20Politics%20of%20Fragmentation
67A3527F,Clarke,Kornberg,Wearing,,,,2,A%20Polity%20on%20the%20Edge:%20Canada%20and%20the%20Politics%20of%20Fragmentation
