UUID,a1,a2,a3,a4,a5,a6,pub_type,name,0,0,0,0,0,0,0,0,0,0
540CD189,Charbonneau,0,0,0,0,0,3,%20Comprendre%20le%20nouveau%20nationalisme%20canadien%20:%20le%20Canada%20comme%20idéal%20moral%20politique,0,0,0,0,0,0,0,0,0,0
6D3E7498,Belanger,Nadeau,0,0,0,0,3,%20Lélecteur%20québécois%20et%20les%20partis,0,0,0,0,0,0,0,0,0,0
CB93FC8D,Joanis,0,0,0,0,0,3,%20Les%20politiques%20publiques%20à%20lère%20du%20%20fédéralisme%20flexible%20,0,0,0,0,0,0,0,0,0,0
F0CD34B4,Papillon,0,0,0,0,0,3,%20Vers%20un%20fédéralisme%20postcolonial?%20La%20difficile%20redéfinition%20des%20rapports%20entre%20lÉtat%20canadien%20et%20les%20peuples%20autochtones,0,0,0,0,0,0,0,0,0,0
3B593235,Brock,0,0,0,0,0,3,A%20Comprehensive%20Canadian%20Approach%20to%20the%20Third%20Sector:%20Creative%20Tensions%20and%20Unexpected%20Outcomes,0,0,0,0,0,0,0,0,0,0
03D257F9,Albo,Jenson,0,0,0,0,3,A%20Contested%20Concept:%20The%20Relative%20Autonmy%20of%20the%20State,0,0,0,0,0,0,0,0,0,0
926C9289,Albo,Jenson,0,0,0,0,3,A%20Contested%20Concept:%20The%20Relative%20Autonmy%20of%20the%20State,0,0,0,0,0,0,0,0,0,0
B50818F0,General/Classics,0,0,0,0,0,3,A%20Framework%20for%20Feminist%20Political%20Science,0,0,0,0,0,0,0,0,0,0
C6DC5CB2,Elections%20Canada,0,0,0,0,0,4,A%20History%20of%20the%20Vote%20in%20Canada,0,0,0,0,0,0,0,0,0,0
70B4251F,Carty,Cross,Young,0,0,0,3,A%20New%20Canadian%20Party%20System,0,0,0,0,0,0,0,0,0,0
D61E66E1,Carty,Cross,Young,0,0,0,3,A%20New%20Canadian%20Party%20System,0,0,0,0,0,0,0,0,0,0
669121A7,Carty,Cross,Young,0,0,0,3,A%20New%20Canadian%20Party%20System,0,0,0,0,0,0,0,0,0,0
4FC0942D,Magnusson,Shaw,0,0,0,0,3,A%20Political%20Space:%20Reading%20the%20Global%20through%20Clayoquot%20Sound%20,0,0,0,0,0,0,0,0,0,0
9A6A0F9D,Smith,0,0,0,0,0,4,Abolishing%20the%20Senate:%20The%20NDPs%20Bad%20Idea.,0,0,0,0,0,0,0,0,0,0
C603DC79,Turpel,0,0,0,0,0,3,Aboriginal%20Peoples%20and%20the%20Canadian%20Charter:%20Interpretive%20Monopolies%2C%20Cultural%20Differences,0,0,0,0,0,0,0,0,0,0
DE57C12D,Papillon,0,0,0,0,0,3,Aboriginal%20Peoples%20in%20Quebec,0,0,0,0,0,0,0,0,0,0
68BE8E60,Chartier,0,0,0,0,0,3,Aboriginal%20Rights%20and%20Land%20Issues:%20The%20Metis%20Perspective,0,0,0,0,0,0,0,0,0,0
FE18DCD1,Prince,0,0,0,0,0,3,Absent%20Citizens:%20Disability%20Politics%20and%20Policy%20in%20Canada,0,0,0,0,0,0,0,0,0,0
0E8AC5A7,Clarke,Jenson,Leduc,Pammett,0,0,3,Absent%20Mandate:%20Canadian%20Electoral%20Politics%20in%20an%20Era%20of%20Restructuring,0,0,0,0,0,0,0,0,0,0
F28AE6FE,Kingdon,0,0,0,0,0,3,Agendas%2C%20Alternatives%2C%20and%20Public%20Policies,0,0,0,0,0,0,0,0,0,0
FFA13273,Laforest,0,0,0,0,0,3,Allaire%2C%20Belaner-Campeau%2C%20and%20Proposals%20for%20Renewed%20Federalism,0,0,0,0,0,0,0,0,0,0
C915C0F7,Marland,0,0,0,0,0,3,Amateurs%20versus%20Professionals:%20The%201993%20and%202006%20Canadian%20Federal%20Elections,0,0,0,0,0,0,0,0,0,0
6B081B67,Smiley,0,0,0,0,0,3,An%20Outsiders%20Observations%20of%20Federal—Provincial%20Relations%20Among%20Consenting%20Adults,0,0,0,0,0,0,0,0,0,0
E30DE3B6,Blais,Gidengil,Nadeau,0,0,0,3,Anatomy%20of%20a%20Liberal%20Victory:%20Making%20Sense%20of%20the%202000%20Canadian%20Election,0,0,0,0,0,0,0,0,0,0
867C8ECE,Montpetit,0,0,0,0,0,3,Are%20Interest%20Groups%20Useful%20or%20Harmful?%20,0,0,0,0,0,0,0,0,0,0
9008523C,Montpetit,0,0,0,0,0,3,Are%20Interest%20Groups%20Useful%20or%20Harmful?%20Take%20Two,0,0,0,0,0,0,0,0,0,0
08F05DF6,Montpetit,0,0,0,0,0,3,Are%20Interest%20Groups%20Useful%20or%20Harmful?%20Take%20Two,0,0,0,0,0,0,0,0,0,0
E870B2AB,Finbow,0,0,0,0,0,3,Atlantic%20Canada%20in%20the%20Twenty-First%20Century:%20Prospects%20for%20Regional%20Integration,0,0,0,0,0,0,0,0,0,0
71441605,Ostberg,Wetstein,0,0,0,0,3,Attitudinal%20Decision%20Making%20in%20the%20Supreme%20Court%20of%20Canada,0,0,0,0,0,0,0,0,0,0
6ECEDE06,Ostberg,Wetstein,0,0,0,0,3,Attitudinal%20Decision%20Making%20in%20the%20Supreme%20Court%20of%20Canada,0,0,0,0,0,0,0,0,0,0
A586D966,Supreme%20Court%20of%20Canada,0,0,0,0,0,4,Attorney%20General%20of%20Manitoba%20et%20al.%20v.%20Attorney%20General%20of%20Canada%20et%20al.%20(Patriation%20Reference)%2C%20[1981]%201%20S.C.R.%20753,0,0,0,0,0,0,0,0,0,0
58C6CD44,Kelly,Laforest,0,0,0,0,3,Aux%20sources%20dune%20tradition%20politique.%20Les,0,0,0,0,0,0,0,0,0,0
DBDD7632,Smith,0,0,0,0,0,3,Bagehot%2C%20the%20Crown%20and%20the%20Canadian%20Constitution,0,0,0,0,0,0,0,0,0,0
6424D3C7,Green,0,0,0,0,0,3,Balancing%20Strategies:%20Aboriginal%20Women%20and%20Constitutional%20Rights%20in%20Canada,0,0,0,0,0,0,0,0,0,0
63A05247,Alfred,Corntassel,0,0,0,0,3,Being%20Indigenous:%20Resurgences%20against%20Contemporary%20Colonialism,0,0,0,0,0,0,0,0,0,0
A875940C,Palmater,0,0,0,0,0,3,Beyond%20Blood:%20Rethinking%20Indigenous%20Identity%20,0,0,0,0,0,0,0,0,0,0
87382D67,Flanagan,Alcantara,Le%20Dressay,0,0,0,3,Beyond%20the%20Indian%20Act:%20Restoring%20Aboriginal%20Property%20Rights,0,0,0,0,0,0,0,0,0,0
32150159,Greene,0,0,0,0,0,3,Boardrooms%20and%20Barricades:%20Anti-Poverty%20Organizing%20in%20Canada,0,0,0,0,0,0,0,0,0,0
486A0369,Swinton,0,0,0,0,0,3,Bora%20Laskin%20and%20Federalism,0,0,0,0,0,0,0,0,0,0
DAFBCABB,Marland,0,0,0,0,0,3,Brand%20Command,0,0,0,0,0,0,0,0,0,0
21ACCCC1,Creighton,0,0,0,0,0,4,British%20North%20America%20at%20Confederation,0,0,0,0,0,0,0,0,0,0
8B890320,Stritch,0,0,0,0,0,3,Business%20Associations%20and%20Policy%20Analysis%20in%20Canada,0,0,0,0,0,0,0,0,0,0
D009F08F,Clancy,0,0,0,0,0,3,Business%20Interests%20and%20Civil%20Society%20in%20Canada,0,0,0,0,0,0,0,0,0,0
5E4C78BE,Clancy,0,0,0,0,0,3,Business%20Interests%20and%20Civil%20Society%20in%20Canada,0,0,0,0,0,0,0,0,0,0
2458B7C5,Clancy,0,0,0,0,0,3,Business%20Interests%20and%20Civil%20Society%20in%20Canada,0,0,0,0,0,0,0,0,0,0
17A8E37F,Streeck,0,0,0,0,0,3,Buying%20Time:%20The%20Delayed%20Crisis%20of%20Democratic%20Capitalism,0,0,0,0,0,0,0,0,0,0
BAC4E24E,Campbell,0,0,0,0,0,3,Cabinet%20Committees%20in%20Canada:%20Pressures%20and%20Dysfunctions%20Stemming%20from%20the%20Representational%20Imperative,0,0,0,0,0,0,0,0,0,0
3435ACC1,Young,0,0,0,0,0,3,Can%20Feminists%20Transform%20Party%20Politics?%20The%20Canadian%20Experience,0,0,0,0,0,0,0,0,0,0
